,0
286,"Cotton 50%, Viscose 45%, Elastane 5%"
287,Lining: Polyester 100% Shell: Polyester 100%
288,"Pocket lining: Polyester 65%, Cotton 35% Shell: Cotton 100%"
289,"Polyester 62%, Viscose 34%, Elastane 4%"
290,"Shell: Polyester 92%, Elastane 8% Lining: Polyester 88%, Elastane 12%"
291,"Polyester 61%, Viscose 32%, Elastane 7%"
292,Viscose 100%
293,"Polyester 62%, Viscose 31%, Elastane 7%"
294,"Cotton 97%, Elastane 3%"
295,Viscose 100%
296,"Polyester 63%, Viscose 34%, Wool 3%"
297,"Shell: Polyester 82%, Elastane 18% Lining: Polyester 86%, Elastane 14%"
298,
299,"Cup lining: Polyester 85%, Elastane 15% Shell: Polyamide 89%, Elastane 11%"
300,Cotton 100%
301,"Polyester 66%, Viscose 29%, Elastane 5%"
302,Polyester 100%
303,Polyester 100%
304,"Viscose 67%, Polyamide 29%, Elastane 4%"
305,"Shell: Polyester 80%, Elastane 20% Lining: Polyester 88%, Elastane 12% Cup lining: Polyester 100%"
306,"Polyester 52%, Acrylic 41%, Wool 4%, Elastane 3%"
307,"Polyester 97%, Elastane 3%"
308,Viscose 100%
309,"Lining: Cotton 100% Shell: Cotton 55%, Linen 45%"
310,"Lining: Polyester 100% Shell: Polyamide 78%, Elastane 22%"
311,"Lining: Polyester 81%, Elastane 19% Shell: Cotton 95%, Elastane 5%"
312,"Viscose 80%, Linen 20%"
313,Polyester 100%
314,Shell: Polyester 100% Lining: Polyester 100%
315,"Viscose 93%, Elastane 7%"
316,"Polyester 61%, Viscose 32%, Elastane 7%"
317,Polyester 100%
318,Shell: Polyester 100% Lining: Cotton 100%
319,"Lining: Polyester 88%, Elastane 12% Shell: Polyamide 80%, Elastane 20% Padding: Polyester 100%"
320,"Polyester 60%, Polyamide 35%, Wool 5%"
321,"Lining: Polyester 100% Shell: Polyester 91%, Elastane 9%"
322,"Polyester 66%, Viscose 29%, Elastane 5%"
323,Viscose 100%
324,"Acetate 84%, Polyester 16%"
325,"Lining: Polyester 100% Shell: Polyamide 78%, Elastane 22%"
326,"Shell: Lyocell 80%, Polyamide 20% Lining: Cotton 100%"
327,"Acetate 84%, Polyester 16%"
328,"Lining: Polyester 100% Shell: Polyamide 78%, Elastane 22%"
329,"Shell: Lyocell 80%, Polyamide 20% Lining: Cotton 100%"
330,"Polyester 79%, Elastane 21%"
331,"Polyester 60%, Polyamide 35%, Wool 5%"
332,"Polyester 62%, Viscose 34%, Elastane 4%"
333,"Cotton 58%, Viscose 37%, Elastane 5% Cotton 95%, Elastane 5% Cotton 85%, Viscose 10%, Elastane 5% Lace: Polyamide 81%, Elastane 19% Gusset lining: Cotton 100%"
334,"Viscose 86%, Elastane 14%"
335,"Polyester 95%, Elastane 5%"
336,Cotton 100%
337,Shell: Polyamide 100% Lining: Polyester 100%
338,"Modal 70%, Polyester 30%"
339,"Cotton 95%, Elastane 5%"
340,"Elastic ribbing: Cotton 55%, Polyester 40%, Elastane 5% Shell: Cotton 55%, Polyester 45%"
341,"Lining: Polyester 88%, Elastane 12% Shell: Polyester 82%, Elastane 18%"
342,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
343,"Padding: Polyester 100% Shell: Polyester 91%, Elastane 9% Lining: Polyester 88%, Elastane 12%"
344,Viscose 100%
345,Lining: Polyester 100% Shell: Polyester 100%
346,"Cotton 95%, Elastane 5%"
347,"Shell: Polyester 91%, Elastane 9% Lining: Polyester 87%, Elastane 13% Cup lining: Polyester 100%"
348,Shell: Polyester 100% Lining: Polyester 100%
349,"Lining: Polyester 88%, Elastane 12% Padding: Polyester 100% Shell: Polyester 85%, Elastane 15%"
350,"Polyester 64%, Acrylic 30%, Wool 6%"
351,Polyester 100%
352,"Cotton 95%, Elastane 5%"
353,Cotton 100%
354,"Viscose 76%, Polyester 18%, Polyamide 6%"
355,"Lining: Polyester 88%, Elastane 12% Shell: Polyester 92%, Elastane 8%"
356,"Polyester 79%, Elastane 21%"
357,"Polyamide 78%, Elastane 22%"
358,"Viscose 55%, Linen 45%"
359,"Details: Polyamide 54%, Polyester 36%, Elastane 10% Shell: Polyester 79%, Elastane 21%"
360,Viscose 100%
361,"Polyamide 92%, Elastane 8%"
362,Cotton 100%
363,"Shell: Polyester 79%, Elastane 21% Lining: Polyester 91%, Elastane 9%"
364,"Cotton 50%, Modal 50%"
365,"Pocket lining: Polyester 65%, Cotton 35% Shell: Cotton 100%"
366,"Gusset lining: Polyester 88%, Elastane 12% Shell: Polyamide 89%, Elastane 11%"
367,"Lining: Polyester 88%, Elastane 12% Shell: Polyamide 83%, Elastane 17%"
368,Cotton 100%
369,Cotton 100%
370,"Polyamide 91%, Elastane 9%"
371,"Shell: Lyocell 78%, Linen 22% Pocket lining: Cotton 100%"
372,"Shell: Cotton 100% Pocket lining: Polyester 65%, Cotton 35%"
373,Cotton 100%
374,"Polyester 50%, Polyamide 28%, Viscose 22%"
375,Viscose 100%
376,Cotton 100%
377,Lining: Polyester 100% Shell: Polyester 100%
378,"Polyester 62%, Viscose 34%, Elastane 4%"
379,"Shell: Polyester 96%, Elastane 4% Lining: Polyester 88%, Elastane 12%"
380,"Polyester 95%, Elastane 5%"
381,Lining: Polyester 100% Shell: Polyester 100%
382,"Polyester 95%, Elastane 5%"
383,"Cotton 95%, Elastane 5%"
384,Cotton 100%
385,"Lace: Polyamide 86%, Elastane 14% Cotton 95%, Elastane 5% Gusset lining: Cotton 100%"
386,"Shell: Polyester 79%, Elastane 21% Lining: Polyester 91%, Elastane 9%"
387,"Polyester 68%, Viscose 28%, Elastane 4%"
388,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
389,Cotton 100%
390,"Lining: Polyester 88%, Elastane 12% Shell: Polyamide 80%, Elastane 20%"
391,"Cotton 50%, Polyester 39%, Elastane 3%"
392,"Lining: Polyester 100% Shell: Polyamide 78%, Elastane 22%"
393,Viscose 100%
394,"Viscose 86%, Elastane 14%"
395,"Cotton 99%, Elastane 1%"
396,"Cotton 95%, Elastane 5%"
397,"Shell: Polyester 56%, Polyamide 40%, Elastane 4% Lining: Polyester 88%, Elastane 12%"
398,"Gusset lining: Polyester 88%, Elastane 12% Shell: Polyamide 87%, Elastane 13%"
399,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
400,"Lining: Polyester 88%, Elastane 12% Shell: Polyester 96%, Elastane 4%"
401,"Polyester 63%, Viscose 34%, Wool 3%"
402,"Lyocell 52%, Polyester 48%"
403,"Polyester 52%, Polyamide 20%, Viscose 15%, Cotton 10%, Wool 3%"
404,"Polyester 97%, Elastane 3%"
405,"Shell: Cotton 95%, Elastane 5% Gusset lining: Cotton 100%"
406,"Bottom part: Polyester 88%, Elastane 12% Upper section: Polyester 100% Lining: Polyester 100%"
407,"Cotton 65%, Polyester 30%, Elastane 5%"
408,"Polyester 50%, Polyamide 28%, Viscose 22%"
409,Cotton 100%
410,Cotton 100%
411,"Lining: Polyester 88%, Elastane 12% Shell: Polyester 82%, Elastane 18%"
412,Cotton 100%
413,"Cotton 95%, Elastane 5% Lace: Polyamide 81%, Elastane 19% Cotton 58%, Polyester 37%, Elastane 5% Cotton 85%, Viscose 10%, Elastane 5% Gusset lining: Cotton 100%"
414,"Gusset lining: Cotton 100% Shell: Polyamide 89%, Elastane 11% Lining: Polyester 85%, Elastane 15%"
415,"Cotton 98%, Viscose 2%"
416,"Shell: Polyamide 87%, Elastane 13% Lining: Polyamide 88%, Elastane 12%"
417,"Cotton 95%, Elastane 5%"
418,Polyester 100%
419,"Polyester 66%, Viscose 29%, Elastane 5%"
420,"Shell: Cotton 80%, Polyester 19%, Elastane 1%"
421,"Cotton 99%, Elastane 1%"
422,"Shell: Cotton 60%, Polyester 40% Elastic ribbing: Cotton 95%, Elastane 5%"
423,"Polyamide 91%, Elastane 9%"
424,Shell: Polyester 100% Lining: Polyester 100%
425,"Polyester 95%, Elastane 5%"
426,"Cotton 95%, Elastane 5%"
427,"Lyocell 75%, Polyamide 25%"
428,"Polyester 95%, Elastane 5%"
429,"Shell: Cotton 92%, Elasterell-P 6%, Elastane 2% Pocket lining: Polyester 65%, Cotton 35%"
430,"Polyester 62%, Viscose 31%, Elastane 7%"
431,Cotton 100%
432,"Lining: Polyester 100% Shell: True Hemp 55%, Cotton 45%"
